Hokkaido,Aomori
Aomori,Hokkaido
Aomori,Akita
Aomori,Iwate
Iwate,Aomori
Iwate,Akita
Iwate,Miyagi
Miyagi,Yamagata
Miyagi,Fukushima
Miyagi,Iwate
Miyagi,Akita
Akita,Aomori
Akita,Iwate
Akita,Yamagata
Akita,Miyagi
Yamagata,Miyagi
Yamagata,Fukushima
Yamagata,Niigata
Yamagata,Akita
Fukushima,Miyagi
Fukushima,Yamagata
Fukushima,Ibaraki
Fukushima,Tochigi
Fukushima,Gunma
Fukushima,Niigata
Ibaraki,Chiba
Ibaraki,Saitama
Ibaraki,Tochigi
Ibaraki,Fukushima
Tochigi,Saitama
Tochigi,Ibaraki
Tochigi,Gunma
Tochigi,Fukushima
Gunma,Saitama
Gunma,Tochigi
Gunma,Niigata
Gunma,Nagano
Gunma,Fukushima
Saitama,Ibaraki
Saitama,Tochigi
Saitama,Gunma
Saitama,Chiba
Saitama,Tokyo
Saitama,Yamanashi
Saitama,Nagano
Chiba,Tokyo
Chiba,Saitama
Chiba,Ibaraki
Tokyo,Kanagawa
Tokyo,Yamanashi
Tokyo,Saitama
Tokyo,Chiba
Kanagawa,Tokyo
Kanagawa,Yamanashi
Kanagawa,Shizuoka
Niigata,Yamagata
Niigata,Fukushima
Niigata,Gunma
Niigata,Nagano
Niigata,Toyama
Toyama,Ishikawa
Toyama,Gifu
Toyama,Niigata
Toyama,Nagano
Ishikawa,Toyama
Ishikawa,Fukui
Ishikawa,Gifu
Fukui,Kyoto
Fukui,Shiga
Fukui,Gifu
Fukui,Ishikawa
Yamanashi,Kanagawa
Yamanashi,Tokyo
Yamanashi,Saitama
Yamanashi,Nagano
Yamanashi,Shizuoka
Nagano,Niigata
Nagano,Gunma
Nagano,Saitama
Nagano,Yamanashi
Nagano,Shizuoka
Nagano,Aichi
Nagano,Gifu
Nagano,Toyama
Gifu,Toyama
Gifu,Aichi
Gifu,Mie
Gifu,Shiga
Gifu,Fukui
Gifu,Ishikawa
Gifu,Nagano
Shizuoka,Kanagawa
Shizuoka,Yamanashi
Shizuoka,Nagano
Shizuoka,Aichi
Aichi,Mie
Aichi,Shizuoka
Aichi,Gifu
Aichi,Nagano
Mie,Aichi
Mie,Gifu
Mie,Shiga
Mie,Kyoto
Mie,Nara
Mie,Wakayama
Shiga,Kyoto
Shiga,Mie
Shiga,Fukui
Shiga,Gifu
Kyoto,Osaka
Kyoto,Hyogo
Kyoto,Shiga
Kyoto,Nara
Kyoto,Fukui
Kyoto,Mie
Osaka,Nara
Osaka,Wakayama
Osaka,Kyoto
Osaka,Hyogo
Hyogo,Osaka
Hyogo,Kyoto
Hyogo,Tottori
Hyogo,Okayama
Hyogo,Tokushima
Nara,Osaka
Nara,Kyoto
Nara,Mie
Nara,Wakayama
Wakayama,Osaka
Wakayama,Mie
Wakayama,Nara
Tottori,Shimane
Tottori,Okayama
Tottori,Hiroshima
Tottori,Hyogo
Shimane,Hiroshima
Shimane,Yamaguchi
Shimane,Tottori
Okayama,Hyogo
Okayama,Tottori
Okayama,Hiroshima
Okayama,Kagawa
Hiroshima,Okayama
Hiroshima,Tottori
Hiroshima,Shimane
Hiroshima,Yamaguchi
Hiroshima,Ehime
Yamaguchi,Shimane
Yamaguchi,Hiroshima
Yamaguchi,Fukuoka
Tokushima,Kagawa
Tokushima,Ehime
Tokushima,Kochi
Tokushima,Hyogo
Kagawa,Tokushima
Kagawa,Ehime
Kagawa,Okayama
Ehime,Kagawa
Ehime,Tokushima
Ehime,Kochi
Ehime,Hiroshima
Kochi,Tokushima
Kochi,Ehime
Fukuoka,Saga
Fukuoka,Kumamoto
Fukuoka,Oita
Fukuoka,Yamaguchi
Saga,Fukuoka
Saga,Nagasaki
Nagasaki,Saga
Kumamoto,Fukuoka
Kumamoto,Oita
Kumamoto,Miyazaki
Kumamoto,Kagoshima
Oita,Miyazaki
Oita,Kumamoto
Oita,Fukuoka
Miyazaki,Oita
Miyazaki,Kumamoto
Miyazaki,Kagoshima
Kagoshima,Kumamoto
Kagoshima,Miyazaki
Okinawa,Kagoshima
